Designator,Component,Number,Cost per unit (EUR),Total cost (EUR),Source of materials,Material
FETbox,PCB,1,3.8,3.8,`JLCPCB <https://cart.jlcpcb.com/quote>`_,FR4
,"Arduino Nano, rev3 (A000005) - development board",1,19.18,19.18,`RS Components <https://at.rs-online.com/web/p/arduino/6961667>`_,
,"Single-row female header, 36-pin, 2.54mm pitch",2,1.1,2.2,`RS Components <https://at.rs-online.com/web/p/leiterplatten-header/2518632/>`_,
,"CL13845G - 3.5mm jack, mono, female, w/nut",5,2.61,13.04,`RS Components <https://at.rs-online.com/web/p/klinken-steckerbuchsen/1438938/>`_,
,"3.5mm jack, mono, female",5,1.66,8.3,`Conrad <https://www.conrad.at/de/p/rean-av-nys226-klinken-steckverbinder-3-5-mm-stecker-gerade-polzahl-2-mono-silber-1-st-715302.html>`_,
,"5.5×2.1mm DC barrel jacket, panel mount",1,1.16,1.16,`Conrad <https://www.conrad.at/de/p/bkl-electronic-072335-niedervolt-steckverbinder-buchse-einbau-vertikal-5-5-mm-2-1-mm-1-st-733946.html>`_,
,"12V DC power supply, 5A (60W)",1,29.99,29.99,`Conrad <https://www.conrad.at/de/p/dehner-elektronik-ats-060t-w120e-steckernetzteil-festspannung-12-v-dc-5-a-60-w-stabilisiert-2110544.html>`_,
,"IRF520 N-channel MOSFET, TO220AB package",5,0.82,4.1,`RS Components <https://at.rs-online.com/web/p/mosfet/5411180/>`_,
,"1N4004 rectifier diode, axial package",5,0.14,0.7,`RS Components <https://at.rs-online.com/web/p/gleichrichterdioden-und-schottky-dioden/6289029/>`_,
,"10kOhm resistor,  1/4W, axial package",5,0.13,0.65,`RS Components <https://at.rs-online.com/web/p/widerstande-durchsteckmontage/7077745/>`_,
,"100uF electrolytic capacitor, 35V, 2.5mm leg pitch, radial package",1,0.08,0.08,`Conrad <https://www.conrad.at/de/p/teapo-sy-100uf-35v-6-3x11mm-elektrolyt-kondensator-radial-bedrahtet-2-5-mm-100-f-35-v-20-x-l-6-3-mm-x-11-mm-1-st-443974.html>`_,
,"Screw, M3×8mm, DIN912",10,3.49 [#f1]_ ,3.49 [#f1]_ ,`Conrad <https://www.conrad.at/de/p/toolcraft-1062106-zylinderschrauben-m3-8-mm-innensechskant-din-912-edelstahl-a4-100-st-1062106.html>`_,Stainless steel